player,JerseyNumber,nation,Pos,age,min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,arial_duels_won,arial_duels_lost,arial_duels_won_pct,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,0,0,0,2,0,0,4,0,0,0,0,0,2,0,1,0.0,414d2972,10Deyna Castellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,0,0,0,3,3,0,3,1,3,0,0,0,6,0,0,0.0,414d2972,7Caiya Hanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,0,0,0,0,2,0,1,1,0,0,0,0,2,2,0,100.0,414d2972,66Reilyn Turner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,50.0,414d2972,13Olivia Moultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0.0,414d2972,26Marie-Yasmine Alidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,414d2972,14Sophie Hirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,0,0,0,2,0,0,0,2,1,0,0,0,6,0,0,0.0,414d2972,17Sam Coffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,0,0,0,2,0,0,1,1,3,0,0,0,6,0,0,0.0,414d2972,21Jessie Fleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,414d2972,8Hina Sugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,1,0,0,1,2,1,0,2,2,0,0,0,5,0,1,0.0,414d2972,2Reyna Reyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,100.0,414d2972,24Jayden Perry414d2972,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-174,83,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,100.0,414d2972,5Isabella Obaze414d2972,Portland Thorns FC
Daiane,34,br BRA,CB,27-227,7,0,0,0,0,1,1,0,2,0,0,0,0,0,1,2,33.3,414d2972,34Daiane414d2972,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-160,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,100.0,414d2972,29Mallie McKenzie414d2972,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-056,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,414d2972,18Mackenzie Arnold414d2972,Portland Thorns FC
Esther González,9,es ESP,FW CM,32-135,83,0,0,0,2,0,3,0,0,0,0,0,0,5,0,1,0.0,414d2972,9Esther González414d2972,Gotham FC
Khyah Harper,34,us USA,FW,22-250,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,414d2972,34Khyah Harper414d2972,Gotham FC
Gabi Portilho,18,br BRA,LM,29-278,73,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0.0,414d2972,18Gabi Portilho414d2972,Gotham FC
Jéssica Silva,20,pt POR,RM LM,30-132,17,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0.0,414d2972,20Jéssica Silva414d2972,Gotham FC
Jaelin Howell,7,us USA,CM DM,25-152,90,0,0,0,1,3,0,1,1,1,0,0,0,7,0,1,0.0,414d2972,7Jaelin Howell414d2972,Gotham FC
Sarah Schupansky,11,us USA,CM,21-240,90,0,0,0,0,2,0,12,0,1,0,0,0,3,0,0,0.0,414d2972,11Sarah Schupansky414d2972,Gotham FC
Bruninha,3,br BRA,RM,22-310,45,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0.0,414d2972,3Bruninha414d2972,Gotham FC
Ella Stevens,13,us USA,RM LM,27-132,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,414d2972,13Ella Stevens414d2972,Gotham FC
Taryn Torres,8,us USA,DM,25-364,61,1,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0.0,414d2972,8Taryn Torres414d2972,Gotham FC
Geyse,10,br BRA,FW CM,27-026,29,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0.0,414d2972,10Geyse414d2972,Gotham FC
Lilly Reale,4,us USA,LB,21-253,90,0,0,0,2,2,0,3,0,1,0,1,0,3,0,1,0.0,414d2972,4Lilly Reale414d2972,Gotham FC
Emily Sonnett,6,us USA,CB,31-148,90,0,0,0,0,1,0,0,0,1,0,0,0,7,1,1,50.0,414d2972,6Emily Sonnett414d2972,Gotham FC
Jess Carter,27,eng ENG,CB,27-177,90,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0.0,414d2972,27Jess Carter414d2972,Gotham FC
Nealy Martin,14,us USA,RB,27-000,73,0,0,0,2,0,0,3,2,0,0,0,0,2,0,1,0.0,414d2972,14Nealy Martin414d2972,Gotham FC
Margaret Purce,23,us USA,RB,29-216,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,414d2972,23Margaret Purce414d2972,Gotham FC
Ann-Katrin Berger,30,de GER,GK,34-195,90,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,414d2972,30Ann-Katrin Berger414d2972,Gotham FC
