player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-155,79,1,0,0,0,5,3,0,0,32,1,0,1,0.6,0.6,0.1,5,1,10,1,62.5,1,10,0,1,7958f078,66Reilyn Turner7958f078,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-356,11,0,0,0,0,3,0,0,0,5,0,0,0,0.4,0.4,0.0,0,0,0,0,0.0,0,3,0,0,7958f078,19Pietra Tordin7958f078,Portland Thorns FC
Payton Linnehan,15,us USA,LW,23-361,45,0,0,0,0,1,1,0,0,22,2,0,0,0.1,0.1,0.0,1,0,4,1,33.3,0,13,0,0,7958f078,15Payton Linnehan7958f078,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-176,45,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.0,1,0,7,3,43.8,0,13,4,0,7958f078,7Caiya Hanks7958f078,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-185,90,0,0,0,0,2,1,0,0,45,2,1,1,0.1,0.1,0.9,8,1,22,2,71.0,8,19,4,1,7958f078,13Olivia Moultrie7958f078,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LM,25-337,72,0,0,0,0,4,1,0,0,35,1,1,1,0.1,0.1,0.0,1,0,11,4,55.0,1,15,1,1,7958f078,10Deyna Castellanos7958f078,Portland Thorns FC
Alexa Spaanstra,77,us USA,LM,25-048,18,0,0,0,0,1,1,0,0,8,1,0,0,0.1,0.1,0.0,1,0,5,0,83.3,1,2,0,0,7958f078,77Alexa Spaanstra7958f078,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-049,90,0,0,0,0,2,1,0,0,68,1,4,1,0.1,0.1,0.2,4,0,43,0,79.6,9,30,0,0,7958f078,8Hina Sugita7958f078,Portland Thorns FC
Sam Coffey,17,us USA,RM,26-080,90,0,0,0,0,0,0,0,0,61,2,0,3,0.0,0.0,0.1,5,0,41,0,82.0,8,14,0,0,7958f078,17Sam Coffey7958f078,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-033,90,0,0,0,0,0,0,0,0,53,2,3,0,0.0,0.0,0.1,5,0,35,1,79.5,6,18,1,0,7958f078,2Reyna Reyes7958f078,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-142,90,0,0,0,0,2,1,0,0,43,2,1,0,0.1,0.1,0.0,0,0,28,1,84.8,1,19,0,1,7958f078,5Isabella Obaze7958f078,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-074,90,0,0,0,0,0,0,0,0,68,2,1,5,0.0,0.0,0.0,0,0,36,1,75.0,1,21,0,1,7958f078,16Samantha Hiatt7958f078,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-004,79,0,0,0,0,1,0,1,0,59,0,1,1,0.0,0.0,0.0,2,0,33,0,78.6,3,14,1,0,7958f078,20Kaitlyn Torpey7958f078,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-128,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,0,1,0,33.3,0,2,0,0,7958f078,29Mallie McKenzie7958f078,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-024,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,0,68.8,0,11,0,0,7958f078,18Mackenzie Arnold7958f078,Portland Thorns FC
Riley Tiernan,33,us USA,FW,22-127,75,0,0,0,0,0,0,0,0,31,1,3,0,0.0,0.0,0.0,2,0,8,1,36.4,0,18,2,0,7958f078,33Riley Tiernan7958f078,Angel City FC
Christen Press,23,us USA,FW,36-082,15,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,4,0,44.4,0,3,0,0,7958f078,23Christen Press7958f078,Angel City FC
Alyssa Thompson,21,us USA,LW,20-134,90,0,0,0,0,3,2,0,0,32,1,1,0,0.3,0.3,0.1,5,0,14,4,70.0,1,14,4,2,7958f078,21Alyssa Thompson7958f078,Angel City FC
Claire Emslie,10,sct SCO,RW,31-013,62,0,0,0,0,1,0,0,0,41,3,1,0,0.0,0.0,0.2,2,0,17,0,54.8,2,21,3,0,7958f078,10Claire Emslie7958f078,Angel City FC
Julie Dufour,7,fr FRA,RW,23-296,28,0,0,0,0,1,0,0,0,13,2,0,1,0.0,0.0,0.0,0,0,5,1,62.5,2,7,0,0,7958f078,7Julie Dufour7958f078,Angel City FC
Macey Hodge,8,us USA,LM,23-321,62,0,0,0,0,1,0,0,0,28,1,1,0,0.0,0.0,0.0,1,0,18,0,75.0,2,9,0,0,7958f078,8Macey Hodge7958f078,Angel City FC
Madison Hammond,99,us USA,LM,27-126,28,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,1,0,7,1,63.6,3,4,0,0,7958f078,99Madison Hammond7958f078,Angel City FC
Kennedy Fuller,17,us USA,CM,18-012,90,1,0,0,0,2,1,0,0,40,0,1,1,0.1,0.1,0.0,1,0,18,1,69.2,6,18,0,0,7958f078,17Kennedy Fuller7958f078,Angel City FC
Alanna Kennedy,14,au AUS,RM,30-059,90,0,0,0,0,2,2,0,0,74,3,1,2,0.1,0.1,0.1,2,1,36,3,69.2,10,28,0,1,7958f078,14Alanna Kennedy7958f078,Angel City FC
Mary Vignola,16,us USA,LB,27-038,90,0,0,0,0,0,0,0,0,65,2,0,2,0.0,0.0,0.0,2,0,44,2,83.0,7,32,6,1,7958f078,16Mary Vignola7958f078,Angel City FC
Savannah King,3,us USA,CB,20-042,90,0,0,0,0,0,0,1,0,60,2,0,3,0.0,0.0,0.0,0,0,41,0,85.4,1,25,0,0,7958f078,3Savannah King7958f078,Angel City FC
Sarah Gorden,11,us USA,CB,32-189,90,0,0,0,0,0,0,0,0,70,0,3,0,0.0,0.0,0.0,1,0,52,0,82.5,5,37,0,0,7958f078,11Sarah Gorden7958f078,Angel City FC
Gisele Thompson,20,us USA,RB,19-109,90,0,1,0,0,0,0,0,0,65,3,2,2,0.0,0.0,0.0,2,1,43,3,86.0,3,24,7,1,7958f078,20Gisele Thompson7958f078,Angel City FC
Angelina Anderson,19,us USA,GK,23-364,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,29,0,61.7,0,18,0,0,7958f078,19Angelina Anderson7958f078,Angel City FC
